,roe,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,ratio8,ratio9,ratio10,ratio11,ev,type1,type2,type3,type4,type5
235,1,0.99 ,57.83 ,116.26 ,42.17 ,92.81 ,0.65 ,0.65 ,232.51 ,5.99 ,8.42 ,27.78 ,174899.83 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
236,1,0.67 ,66.81 ,107.15 ,33.19 ,94.38 ,0.32 ,1.08 ,276.07 ,5.65 ,6.37 ,43.10 ,130352.59 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
237,1,1.23 ,59.82 ,113.40 ,40.18 ,91.91 ,0.69 ,0.05 ,265.58 ,8.09 ,9.57 ,43.01 ,7663.31 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
238,1,0.92 ,53.58 ,122.53 ,46.42 ,91.09 ,0.09 ,0.17 ,180.50 ,7.87 ,10.36 ,25.21 ,215586.03 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
239,1,0.83 ,55.30 ,110.40 ,44.70 ,94.20 ,0.16 ,0.27 ,211.60 ,5.89 ,6.91 ,39.74 ,27823.18 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
240,1,1.16 ,50.41 ,111.59 ,49.59 ,91.99 ,1.13 ,0.03 ,179.92 ,7.88 ,9.29 ,28.55 ,46688.78 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
241,1,0.69 ,58.08 ,124.63 ,41.92 ,92.98 ,0.16 ,0.12 ,167.50 ,4.84 ,6.79 ,40.68 ,205209.40 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
242,1,0.75 ,67.12 ,111.65 ,32.88 ,94.95 ,0.15 ,0.47 ,280.25 ,4.98 ,6.10 ,37.87 ,43288.85 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
243,1,0.44 ,76.02 ,103.87 ,23.98 ,96.20 ,0.32 ,0.06 ,420.11 ,3.80 ,4.24 ,38.41 ,41823.95 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
244,1,0.91 ,53.83 ,105.98 ,46.17 ,92.52 ,0.09 ,0.37 ,191.86 ,7.49 ,8.18 ,28.58 ,381831.61 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
245,1,0.83 ,41.01 ,107.32 ,58.99 ,93.24 ,0.06 ,0.56 ,135.06 ,6.64 ,6.91 ,39.20 ,983079.57 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
246,1,0.35 ,74.33 ,106.18 ,25.67 ,95.36 ,0.20 ,0.35 ,246.39 ,4.67 ,4.94 ,48.85 ,132900.73 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
247,1,1.02 ,59.14 ,111.32 ,40.86 ,91.92 ,0.29 ,0.55 ,220.48 ,7.99 ,9.26 ,26.77 ,73640.78 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
248,1,1.16 ,54.04 ,109.64 ,45.96 ,90.25 ,0.17 ,0.00 ,128.48 ,9.85 ,10.23 ,49.06 ,485919.61 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 
249,1,0.87 ,59.16 ,113.34 ,40.84 ,93.45 ,0.67 ,0.23 ,220.24 ,6.48 ,6.81 ,33.84 ,44229.74 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
250,1,0.56 ,67.66 ,106.06 ,32.34 ,95.73 ,0.08 ,0.58 ,235.50 ,4.24 ,5.09 ,44.75 ,348682.98 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
251,1,0.79 ,69.97 ,104.75 ,30.03 ,93.03 ,0.35 ,0.11 ,328.46 ,6.95 ,7.93 ,47.00 ,258388.81 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
252,1,1.12 ,62.81 ,111.18 ,37.19 ,91.05 ,0.23 ,0.64 ,224.66 ,8.76 ,9.86 ,26.95 ,77068.05 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
253,1,1.50 ,48.31 ,111.12 ,51.69 ,89.94 ,0.33 ,0.38 ,189.49 ,10.01 ,11.83 ,30.63 ,60670.93 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
254,1,1.14 ,77.76 ,111.83 ,22.24 ,92.41 ,0.13 ,0.03 ,456.73 ,7.59 ,11.27 ,18.37 ,76515.49 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
255,1,1.13 ,49.14 ,111.04 ,50.86 ,92.11 ,0.38 ,0.65 ,161.06 ,7.59 ,8.26 ,36.44 ,71444.54 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
256,1,0.94 ,83.18 ,118.57 ,16.82 ,92.61 ,0.11 ,0.00 ,600.03 ,7.00 ,7.69 ,21.33 ,51827.48 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
257,1,1.18 ,54.75 ,110.75 ,45.25 ,92.10 ,1.87 ,0.46 ,197.87 ,7.92 ,9.17 ,43.42 ,19940.57 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
